Year,CIRI Country ID,Country,UN Country ID,UN Region,UN Subregion,Physical Integrity Rights Index,Disappearance,Extrajudicial Killing,Political Imprisonment,Torture,Empowerment Rights Index (Old),Empowerment Rights Index (New),Freedom of Assembly and Association,Freedom of Foreign Movement,Freedom of Domestic Movement,Freedom of Movement (Old),Freedom of Speech,Electoral Self-Determination,Freedom of Religion (Old),Freedom of Religion (New),Employment Rights,Women’s Economic Rights,Women’s Political Rights,Women’s Social Rights,Independence of Judiciary
1981,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,2,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,2,1,1
1982,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1983,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1984,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,,-999,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,2,1,1
1985,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1986,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1987,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,2,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,2,1,1
1988,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1989,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1
1990,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,,-999,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,2,1,1
1991,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,,-999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1
1992,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,,-999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1
1993,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,,-999,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,1,0
1994,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,,-999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1995,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1996,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1997,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1998,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1999,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
2000,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
2001,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
2002,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
2003,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2004,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-999,0
2005,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0
2006,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,0
2007,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,1,2,-999,0
2008,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,1,2,,0
2009,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,1,2,,0
2010,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,1,2,,0
2011,374,"Korea, Democratic People's Republic of",408,Asia,Eastern Asia,1,1,0,0,0,,0,0,0,0,,0,0,,0,0,1,2,,0
1981,377,"Korea, Republic of",410,Asia,Eastern Asia,4,2,2,0,0,5,5,0,1,2,1,0,1,1,1,0,1,1,0,0
1982,377,"Korea, Republic of",410,Asia,Eastern Asia,4,2,2,0,0,5,6,0,1,2,1,0,1,1,2,0,1,1,1,1
1983,377,"Korea, Republic of",410,Asia,Eastern Asia,5,2,1,1,1,5,7,1,1,2,1,0,1,1,2,0,1,1,1,1
1984,377,"Korea, Republic of",410,Asia,Eastern Asia,6,2,2,1,1,6,7,1,1,2,1,1,1,1,1,0,1,1,0,0
1985,377,"Korea, Republic of",410,Asia,Eastern Asia,4,2,2,0,0,5,4,0,1,2,1,0,1,1,0,0,0,1,0,1
1986,377,"Korea, Republic of",410,Asia,Eastern Asia,4,2,1,0,1,7,6,0,1,2,1,1,1,1,0,1,1,1,1,1
1987,377,"Korea, Republic of",410,Asia,Eastern Asia,3,1,1,0,1,6,5,0,1,2,1,1,1,1,0,0,1,1,0,1
1988,377,"Korea, Republic of",410,Asia,Eastern Asia,6,1,2,1,2,8,9,0,1,2,1,1,2,1,2,1,1,1,1,1
1989,377,"Korea, Republic of",410,Asia,Eastern Asia,4,2,1,0,1,6,6,0,1,2,1,0,2,1,1,0,1,1,1,1
1990,377,"Korea, Republic of",410,Asia,Eastern Asia,4,2,2,0,0,6,7,0,1,2,1,1,1,1,2,0,1,1,1,1
1991,377,"Korea, Republic of",410,Asia,Eastern Asia,3,2,1,0,0,6,9,0,1,2,0,1,2,1,2,1,1,1,1,1
1992,377,"Korea, Republic of",410,Asia,Eastern Asia,4,2,2,0,0,7,9,1,1,2,1,1,1,1,2,1,1,1,1,1
1993,377,"Korea, Republic of",410,Asia,Eastern Asia,4,2,2,0,0,8,11,2,1,2,1,1,2,1,2,1,1,1,1,1
1994,377,"Korea, Republic of",410,Asia,Eastern Asia,4,2,2,0,0,8,10,1,1,2,1,1,2,1,2,1,1,1,1,1
1995,377,"Korea, Republic of",410,Asia,Eastern Asia,4,2,2,0,0,8,11,2,1,2,1,1,2,1,2,1,1,1,1,1
1996,377,"Korea, Republic of",410,Asia,Eastern Asia,4,2,1,0,1,8,10,1,1,2,1,1,2,1,2,1,1,1,1,1
1997,377,"Korea, Republic of",410,Asia,Eastern Asia,5,2,2,0,1,8,10,1,1,2,1,1,2,1,2,1,1,1,1,1
1998,377,"Korea, Republic of",410,Asia,Eastern Asia,6,2,2,1,1,9,11,1,1,2,1,1,2,1,2,2,1,1,1,1
1999,377,"Korea, Republic of",410,Asia,Eastern Asia,5,2,2,0,1,8,10,1,1,2,1,1,2,1,2,1,1,1,1,1
2000,377,"Korea, Republic of",410,Asia,Eastern Asia,5,2,2,0,1,8,10,1,1,2,1,1,2,1,2,1,1,2,1,1
2001,377,"Korea, Republic of",410,Asia,Eastern Asia,5,2,2,0,1,9,12,2,1,2,1,1,2,1,2,2,1,2,1,1
2002,377,"Korea, Republic of",410,Asia,Eastern Asia,4,2,1,0,1,8,10,1,1,2,1,1,2,1,2,1,1,2,1,1
2003,377,"Korea, Republic of",410,Asia,Eastern Asia,5,2,2,0,1,8,11,2,1,2,1,1,2,1,2,1,2,2,2,2
2004,377,"Korea, Republic of",410,Asia,Eastern Asia,5,2,2,0,1,8,11,2,1,2,1,1,2,1,2,1,2,2,1,2
2005,377,"Korea, Republic of",410,Asia,Eastern Asia,5,2,2,0,1,8,10,1,1,2,1,1,2,1,2,1,1,2,,2
2006,377,"Korea, Republic of",410,Asia,Eastern Asia,5,2,2,0,1,8,11,2,1,2,1,1,2,1,2,1,1,2,,2
2007,377,"Korea, Republic of",410,Asia,Eastern Asia,6,2,2,0,2,,10,1,2,1,,1,2,,2,1,1,2,2,2
2008,377,"Korea, Republic of",410,Asia,Eastern Asia,5,2,2,0,1,,9,0,2,1,,1,2,,2,1,2,2,,2
2009,377,"Korea, Republic of",410,Asia,Eastern Asia,6,2,2,0,2,,11,1,2,1,,2,2,,2,1,2,2,,2
2010,377,"Korea, Republic of",410,Asia,Eastern Asia,5,2,2,0,1,,11,2,2,1,,2,2,,1,1,3,2,,2
2011,377,"Korea, Republic of",410,Asia,Eastern Asia,4,2,1,0,1,,10,1,2,1,,1,2,,2,1,3,2,,2
1981,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
1982,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
1983,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
1984,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
1985,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
1986,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
1987,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
1988,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
1989,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
1990,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
1991,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
1992,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
1993,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
1994,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
1995,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
1996,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
1997,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
1998,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
1999,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
2000,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
2001,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
2002,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
2003,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
2004,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
2005,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
2006,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
2007,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
2008,699,Kosovo,,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,
2009,699,Kosovo,,Europe,Southern Europe,6,2,2,1,1,,9,1,2,2,,1,1,,1,1,1,3,,0
2010,699,Kosovo,,Europe,Southern Europe,7,2,2,2,1,,8,1,2,2,,1,1,,0,1,1,3,,1
2011,699,Kosovo,,Europe,Southern Europe,7,2,2,2,1,,10,2,2,2,,1,1,,1,1,1,3,,1
1981,380,Kuwait,414,Asia,Western Asia,6,2,1,2,1,4,5,0,1,2,1,1,0,0,0,1,0,0,0,2
1982,380,Kuwait,414,Asia,Western Asia,8,2,2,2,2,4,6,0,1,2,1,1,0,0,1,1,0,0,0,2
1983,380,Kuwait,414,Asia,Western Asia,6,2,1,2,1,4,5,0,0,2,1,1,0,0,1,1,0,0,0,2
1984,380,Kuwait,414,Asia,Western Asia,5,2,1,2,0,4,4,0,0,2,1,1,0,0,0,1,0,0,0,2
1985,380,Kuwait,414,Asia,Western Asia,5,2,1,2,0,3,3,0,0,2,1,0,0,0,0,1,1,0,0,2
1986,380,Kuwait,414,Asia,Western Asia,6,2,2,1,1,6,4,0,0,2,1,0,0,1,0,2,1,0,0,2
1987,380,Kuwait,414,Asia,Western Asia,5,2,1,2,0,3,4,0,0,2,1,0,0,0,1,1,1,0,0,2
1988,380,Kuwait,414,Asia,Western Asia,6,2,2,1,1,6,4,0,0,2,1,1,0,1,0,1,1,0,0,2
1989,380,Kuwait,414,Asia,Western Asia,6,2,2,1,1,3,3,0,0,2,1,1,0,0,0,0,1,0,0,2
1990,380,Kuwait,414,Asia,Western Asia,,-66,-66,-66,-66,,,-66,-66,-66,-66,-66,-66,-66,0,-66,-66,-66,-66,-66
1991,380,Kuwait,414,Asia,Western Asia,2,0,2,0,0,1,4,0,0,2,0,1,0,0,1,0,0,0,0,2
1992,380,Kuwait,414,Asia,Western Asia,5,2,2,0,1,1,4,0,0,2,0,1,0,0,1,0,0,0,0,1
1993,380,Kuwait,414,Asia,Western Asia,4,2,1,0,1,2,5,0,0,2,0,1,0,0,1,1,1,0,0,1
1994,380,Kuwait,414,Asia,Western Asia,6,2,2,0,2,1,5,1,0,2,0,1,0,0,1,0,0,0,0,1
1995,380,Kuwait,414,Asia,Western Asia,5,2,2,0,1,1,4,0,0,2,0,1,0,0,1,0,0,0,0,1
1996,380,Kuwait,414,Asia,Western Asia,2,0,2,0,0,1,3,0,0,2,0,0,0,0,0,1,1,0,0,1
1997,380,Kuwait,414,Asia,Western Asia,5,2,2,0,1,2,4,0,0,2,0,1,0,0,0,1,1,0,0,1
1998,380,Kuwait,414,Asia,Western Asia,5,2,2,0,1,3,5,0,0,2,0,2,0,0,0,1,1,0,0,1
1999,380,Kuwait,414,Asia,Western Asia,5,2,2,0,1,2,5,0,0,2,0,1,0,0,1,1,1,0,0,1
2000,380,Kuwait,414,Asia,Western Asia,5,2,2,0,1,1,4,0,0,2,0,1,0,0,1,0,1,0,0,1
2001,380,Kuwait,414,Asia,Western Asia,6,2,2,1,1,2,5,0,0,2,0,1,0,0,1,1,1,0,0,1
2002,380,Kuwait,414,Asia,Western Asia,6,2,2,1,1,1,4,0,0,2,0,1,0,0,1,0,1,0,0,1
2003,380,Kuwait,414,Asia,Western Asia,6,2,2,1,1,1,3,0,0,2,0,1,0,0,0,0,1,0,0,1
2004,380,Kuwait,414,Asia,Western Asia,6,2,2,1,1,0,3,1,0,2,0,0,0,0,0,0,1,0,0,1
2005,380,Kuwait,414,Asia,Western Asia,5,2,1,1,1,0,3,1,0,2,0,0,0,0,0,0,1,0,,2
2006,380,Kuwait,414,Asia,Western Asia,7,2,2,2,1,1,4,1,0,2,0,1,0,0,0,0,0,0,,1
2007,380,Kuwait,414,Asia,Western Asia,6,2,2,1,1,,4,1,1,0,,1,1,,0,0,0,1,0,1
2008,380,Kuwait,414,Asia,Western Asia,6,2,2,1,1,,2,1,1,0,,0,0,,0,0,0,1,,1
2009,380,Kuwait,414,Asia,Western Asia,6,2,2,1,1,,5,1,2,0,,0,1,,1,0,0,2,,1
2010,380,Kuwait,414,Asia,Western Asia,6,2,2,1,1,,4,1,2,0,,0,1,,0,0,0,0,,1
2011,380,Kuwait,414,Asia,Western Asia,5,2,1,1,1,,5,1,2,0,,0,1,,1,0,0,1,,1
1981,383,Kyrgyz Republic,417,Asia,Southcentral Asia,,,,,,,,,,,,,,,,,,,,
1982,383,Kyrgyz Republic,417,Asia,Southcentral Asia,,,,,,,,,,,,,,,,,,,,
1983,383,Kyrgyz Republic,417,Asia,Southcentral Asia,,,,,,,,,,,,,,,,,,,,
1984,383,Kyrgyz Republic,417,Asia,Southcentral Asia,,,,,,,,,,,,,,,,,,,,
1985,383,Kyrgyz Republic,417,Asia,Southcentral Asia,,,,,,,,,,,,,,,,,,,,
1986,383,Kyrgyz Republic,417,Asia,Southcentral Asia,,,,,,,,,,,,,,,,,,,,
1987,383,Kyrgyz Republic,417,Asia,Southcentral Asia,,,,,,,,,,,,,,,,,,,,
1988,383,Kyrgyz Republic,417,Asia,Southcentral Asia,,,,,,,,,,,,,,,,,,,,
1989,383,Kyrgyz Republic,417,Asia,Southcentral Asia,,,,,,,,,,,,,,,,,,,,
1990,383,Kyrgyz Republic,417,Asia,Southcentral Asia,,,,,,,,,,,,,,,,,,,,
1991,383,Kyrgyz Republic,417,Asia,Southcentral Asia,,,,,,,,,,,,,,,,,,,,
1992,383,Kyrgyz Republic,417,Asia,Southcentral Asia,7,2,2,1,2,10,9,1,0,0,1,2,2,1,2,2,2,2,2,2
1993,383,Kyrgyz Republic,417,Asia,Southcentral Asia,8,2,2,2,2,6,8,1,1,0,0,1,1,1,2,2,2,2,2,1
1994,383,Kyrgyz Republic,417,Asia,Southcentral Asia,7,2,2,2,1,3,7,2,1,1,0,0,0,1,2,1,3,2,2,0
1995,383,Kyrgyz Republic,417,Asia,Southcentral Asia,6,2,2,2,0,3,6,2,1,1,0,0,0,1,1,1,3,2,2,0
1996,383,Kyrgyz Republic,417,Asia,Southcentral Asia,6,2,2,1,1,2,7,2,1,1,0,1,0,0,1,1,2,2,2,0
1997,383,Kyrgyz Republic,417,Asia,Southcentral Asia,7,2,2,1,2,4,9,2,1,1,0,1,1,0,1,2,2,2,2,0
1998,383,Kyrgyz Republic,417,Asia,Southcentral Asia,7,2,2,2,1,5,7,1,1,1,1,1,1,0,1,1,2,2,2,0
1999,383,Kyrgyz Republic,417,Asia,Southcentral Asia,6,2,2,1,1,4,8,1,1,1,0,1,1,0,1,2,2,2,2,0
2000,383,Kyrgyz Republic,417,Asia,Southcentral Asia,6,2,2,1,1,1,4,1,1,0,0,0,0,0,1,1,2,2,2,0
2001,383,Kyrgyz Republic,417,Asia,Southcentral Asia,6,2,2,1,1,4,8,1,2,0,0,1,1,0,1,2,2,2,1,0
2002,383,Kyrgyz Republic,417,Asia,Southcentral Asia,6,2,2,1,1,3,6,1,2,0,0,1,1,0,0,1,2,2,1,0
2003,383,Kyrgyz Republic,417,Asia,Southcentral Asia,5,1,2,1,1,5,4,1,1,0,1,0,0,1,1,1,1,2,1,0
2004,383,Kyrgyz Republic,417,Asia,Southcentral Asia,5,1,2,1,1,7,6,1,1,0,1,1,1,1,1,1,1,2,1,0
2005,383,Kyrgyz Republic,417,Asia,Southcentral Asia,6,2,2,1,1,7,6,1,1,0,1,1,1,1,1,1,1,1,,1
2006,383,Kyrgyz Republic,417,Asia,Southcentral Asia,4,2,1,1,0,7,6,1,1,0,1,1,1,1,1,1,1,1,,0
2007,383,Kyrgyz Republic,417,Asia,Southcentral Asia,4,2,1,1,0,,7,1,1,1,,1,1,,1,1,1,2,1,1
2008,383,Kyrgyz Republic,417,Asia,Southcentral Asia,6,2,2,1,1,,4,0,1,1,,0,0,,1,1,1,2,,1
2009,383,Kyrgyz Republic,417,Asia,Southcentral Asia,4,2,1,0,1,,5,0,1,1,,1,0,,1,1,1,2,,1
2010,383,Kyrgyz Republic,417,Asia,Southcentral Asia,4,2,1,1,0,,5,1,1,1,,0,1,,0,1,1,2,,1
2011,383,Kyrgyz Republic,417,Asia,Southcentral Asia,2,0,1,1,0,,6,1,1,1,,1,1,,0,1,1,2,,1
1981,386,Laos,418,Asia,Southeastern Asia,3,1,0,0,2,3,2,0,0,0,0,0,1,1,1,0,-999,2,-999,0
1982,386,Laos,418,Asia,Southeastern Asia,3,1,1,0,1,2,1,0,0,0,0,0,0,1,1,0,1,2,1,0
1983,386,Laos,418,Asia,Southeastern Asia,4,1,1,0,2,2,2,0,0,0,0,0,0,1,2,0,1,2,1,0
1984,386,Laos,418,Asia,Southeastern Asia,4,2,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1985,386,Laos,418,Asia,Southeastern Asia,4,1,1,0,2,2,0,0,0,0,0,0,0,1,0,0,1,1,1,0
1986,386,Laos,418,Asia,Southeastern Asia,5,2,1,0,2,2,1,0,0,0,0,0,0,1,1,0,1,1,1,0
1987,386,Laos,418,Asia,Southeastern Asia,3,1,1,0,1,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
1988,386,Laos,418,Asia,Southeastern Asia,5,2,2,0,1,2,1,0,0,0,0,0,0,1,1,0,1,1,1,0
1989,386,Laos,418,Asia,Southeastern Asia,5,2,2,0,1,2,1,0,0,0,0,0,0,1,1,0,1,2,1,0
1990,386,Laos,418,Asia,Southeastern Asia,4,2,1,0,1,1,4,0,1,1,0,0,1,0,1,0,1,2,1,0
1991,386,Laos,418,Asia,Southeastern Asia,7,2,2,1,2,5,6,0,2,1,1,0,1,1,2,0,1,2,1,1
1992,386,Laos,418,Asia,Southeastern Asia,7,2,2,1,2,1,5,0,2,1,0,0,1,0,1,0,1,2,1,1
1993,386,Laos,418,Asia,Southeastern Asia,6,2,1,1,2,0,4,0,2,1,0,0,0,0,1,0,1,2,1,0
1994,386,Laos,418,Asia,Southeastern Asia,7,2,2,1,2,2,5,0,2,2,1,0,0,0,1,0,1,2,1,0
1995,386,Laos,418,Asia,Southeastern Asia,7,2,2,1,2,3,5,0,2,2,1,0,1,0,0,0,1,2,1,0
1996,386,Laos,418,Asia,Southeastern Asia,8,2,2,2,2,2,4,0,2,2,1,0,0,0,0,0,1,2,1,0
1997,386,Laos,418,Asia,Southeastern Asia,7,2,2,1,2,2,4,0,2,2,1,0,0,0,0,0,1,2,2,0
1998,386,Laos,418,Asia,Southeastern Asia,5,2,1,1,1,2,3,0,2,1,1,0,0,0,0,0,1,2,1,0
1999,386,Laos,418,Asia,Southeastern Asia,5,2,2,0,1,0,2,0,1,1,0,0,0,0,0,0,2,2,2,0
2000,386,Laos,418,Asia,Southeastern Asia,4,1,1,1,1,0,3,1,1,1,0,0,0,0,0,0,2,2,2,0
2001,386,Laos,418,Asia,Southeastern Asia,4,2,2,0,0,0,2,0,1,1,0,0,0,0,0,0,2,2,2,0
2002,386,Laos,418,Asia,Southeastern Asia,4,2,2,0,0,0,3,0,1,2,0,0,0,0,0,0,2,2,2,0
2003,386,Laos,418,Asia,Southeastern Asia,1,1,0,0,0,2,3,0,1,2,1,0,0,0,0,0,2,2,2,0
2004,386,Laos,418,Asia,Southeastern Asia,3,1,1,0,1,2,4,1,1,2,1,0,0,0,0,0,2,2,2,0
2005,386,Laos,418,Asia,Southeastern Asia,3,0,1,1,1,0,3,0,1,2,0,0,0,0,0,0,2,2,,1
2006,386,Laos,418,Asia,Southeastern Asia,4,2,1,0,1,2,2,0,1,1,1,0,0,0,0,0,2,2,,0
2007,386,Laos,418,Asia,Southeastern Asia,4,1,1,1,1,,2,0,2,0,,0,0,,0,0,2,2,2,1
2008,386,Laos,418,Asia,Southeastern Asia,5,2,2,0,1,,3,0,2,1,,0,0,,0,0,3,2,,1
2009,386,Laos,418,Asia,Southeastern Asia,5,1,2,1,1,,2,0,2,0,,0,0,,0,0,2,2,,1
2010,386,Laos,418,Asia,Southeastern Asia,6,2,2,1,1,,3,0,2,1,,0,0,,0,0,1,2,,1
2011,386,Laos,418,Asia,Southeastern Asia,5,2,2,1,0,,2,0,1,1,,0,0,,0,0,1,2,,1
1981,389,Latvia,428,Europe,Northern Europe,,,,,,,,,,,,,,,,,,,,
1982,389,Latvia,428,Europe,Northern Europe,,,,,,,,,,,,,,,1,,,,,
1983,389,Latvia,428,Europe,Northern Europe,,,,,,,,,0,0,,,,,,,,,,
1984,389,Latvia,428,Europe,Northern Europe,,,,,,,,,0,0,,,,,0,,,,,
1985,389,Latvia,428,Europe,Northern Europe,,,,,,,,,0,0,,,,,0,,,,,
1986,389,Latvia,428,Europe,Northern Europe,,,,,,,,,0,0,,,,,0,,,,,
1987,389,Latvia,428,Europe,Northern Europe,,,,,,,,,0,0,,,,,0,,,,,
1988,389,Latvia,428,Europe,Northern Europe,,,,,,,,,0,0,,,,,0,,,,,
1989,389,Latvia,428,Europe,Northern Europe,,,,,,,,,0,0,,,,,0,,,,,
1990,389,Latvia,428,Europe,Northern Europe,,,,,,,,,0,0,,,,,2,,,,,
1991,389,Latvia,428,Europe,Northern Europe,,,,,,,,,2,2,,,,,2,,,,,
1992,389,Latvia,428,Europe,Northern Europe,8,2,2,2,2,10,14,2,2,2,1,2,2,1,2,2,2,2,2,2
1993,389,Latvia,428,Europe,Northern Europe,7,2,2,2,1,8,11,1,2,2,1,2,2,1,2,0,2,2,2,1
1994,389,Latvia,428,Europe,Northern Europe,5,2,1,2,0,8,11,1,2,2,1,2,2,1,2,0,2,2,2,1
1995,389,Latvia,428,Europe,Northern Europe,5,2,1,2,0,8,10,1,2,2,1,2,2,1,1,0,2,2,2,1
1996,389,Latvia,428,Europe,Northern Europe,7,2,2,2,1,6,10,1,2,2,1,2,2,0,1,0,1,2,1,1
1997,389,Latvia,428,Europe,Northern Europe,7,2,2,2,1,6,10,1,2,2,1,2,2,0,1,0,1,2,1,1
1998,389,Latvia,428,Europe,Northern Europe,6,2,2,2,0,8,13,1,2,2,1,2,2,0,2,2,1,2,1,1
1999,389,Latvia,428,Europe,Northern Europe,7,2,2,2,1,8,13,1,2,2,1,2,2,0,2,2,1,2,1,1
2000,389,Latvia,428,Europe,Northern Europe,7,2,2,2,1,8,13,1,2,2,1,2,2,0,2,2,1,2,1,1
2001,389,Latvia,428,Europe,Northern Europe,6,2,2,2,0,7,11,1,2,2,1,2,2,0,1,1,1,2,1,1
2002,389,Latvia,428,Europe,Northern Europe,7,2,2,2,1,7,12,1,2,2,1,2,2,0,2,1,2,2,1,1
2003,389,Latvia,428,Europe,Northern Europe,7,2,2,2,1,7,12,1,2,2,1,2,2,0,2,1,2,2,2,1
2004,389,Latvia,428,Europe,Northern Europe,6,2,2,2,0,9,12,1,2,2,1,2,2,1,2,1,2,2,1,1
2005,389,Latvia,428,Europe,Northern Europe,7,2,2,2,1,9,11,1,2,2,1,2,2,1,1,1,1,2,,1
2006,389,Latvia,428,Europe,Northern Europe,7,2,2,2,1,9,11,1,2,2,1,2,2,1,1,1,1,2,,1
2007,389,Latvia,428,Europe,Northern Europe,6,2,1,2,1,,11,0,2,2,,2,2,,1,2,2,2,2,1
2008,389,Latvia,428,Europe,Northern Europe,6,2,2,1,1,,7,0,2,2,,1,0,,1,1,1,2,,1
2009,389,Latvia,428,Europe,Northern Europe,7,2,2,2,1,,11,1,2,2,,2,2,,1,1,2,2,,1
2010,389,Latvia,428,Europe,Northern Europe,7,2,2,2,1,,9,1,2,2,,1,1,,1,1,1,2,,2
2011,389,Latvia,428,Europe,Northern Europe,6,2,2,1,1,,10,1,2,2,,1,1,,2,1,1,2,,1
1981,392,Lebanon,422,Asia,Western Asia,,-77,-77,-77,-77,,,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
1982,392,Lebanon,422,Asia,Western Asia,,-77,-77,-77,-77,,,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
1983,392,Lebanon,422,Asia,Western Asia,,-77,-77,-77,-77,,,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
1984,392,Lebanon,422,Asia,Western Asia,,-77,-77,-77,-77,,,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
